instruction,original,opcode,mnemonic,operand_count,has_vector_reg,has_memory,has_immediate,has_masking,register_width,memory_width,prefix_type
BTS r64,BTS r/m64,,BTS,1,0,0,0,0,64,0,NONE
BTS m64,BTS r/m64,,BTS,1,0,1,0,0,0,64,NONE
BTS r16,BTS r16,,BTS,1,0,0,0,0,64,0,NONE
BTS r32,BTS r32,,BTS,1,0,0,0,0,64,0,NONE
BTS r64,BTS r64,,BTS,1,0,0,0,0,64,0,NONE
C6 F8 ibXABORT imm8,C6 F8 ibXABORT imm8,,C6,3,0,1,1,0,16,8,NONE
C7 F8XBEGIN rel16,C7 F8XBEGIN rel16,,C7,2,0,0,0,0,0,0,NONE
C7 F8XBEGIN rel32,C7 F8XBEGIN rel32,,C7,2,0,0,0,0,0,0,NONE
CALL m16:16,CALL m16:16,,CALL,1,0,1,0,0,16,16,NONE
CALL m16:32,CALL m16:32,,CALL,1,0,1,0,0,16,16,NONE
CALL m16:64,CALL m16:64,,CALL,1,0,1,0,0,16,16,NONE
CALL ptr16:16,CALL ptr16:16,,CALL,1,0,1,0,0,64,0,NONE
CALL ptr16:32,CALL ptr16:32,,CALL,1,0,1,0,0,64,0,NONE
CALL r16,CALL r/m16,,CALL,1,0,0,0,0,64,0,NONE
CALL m16,CALL r/m16,,CALL,1,0,1,0,0,16,16,NONE
CALL r32,CALL r/m32,,CALL,1,0,0,0,0,64,0,NONE
CALL m32,CALL r/m32,,CALL,1,0,1,0,0,8,32,NONE
CALL r64,CALL r/m64,,CALL,1,0,0,0,0,64,0,NONE
CALL m64,CALL r/m64,,CALL,1,0,1,0,0,8,64,NONE
CALL rel16,CALL rel16,,CALL,1,0,0,0,0,8,0,NONE
CALL rel32,CALL rel32,,CALL,1,0,0,0,0,8,0,NONE
CBW,CBW,,CBW,0,0,0,0,0,0,0,NONE
CDQ,CDQ,,CDQ,0,0,0,0,0,0,0,NONE
CDQE,CDQE,,CDQE,0,0,0,0,0,0,0,NONE
CLC,CLC,,CLC,0,0,0,0,0,8,0,NONE
CLD,CLD,,CLD,0,0,0,0,0,8,0,NONE
CLI,CLI,,CLI,0,0,0,0,0,8,0,NONE
CLTS,CLTS,,CLTS,0,0,0,0,0,8,0,NONE
CMC,CMC,,CMC,0,0,0,0,0,0,0,NONE
CMOVA r16,CMOVA r/m16,,CMOVA,1,0,0,0,0,64,0,NONE
CMOVA m16,CMOVA r/m16,,CMOVA,1,0,1,0,0,16,16,NONE
CMOVA r32,CMOVA r/m32,,CMOVA,1,0,0,0,0,64,0,NONE
CMOVA m32,CMOVA r/m32,,CMOVA,1,0,1,0,0,0,32,NONE
CMOVA r64,CMOVA r/m64,,CMOVA,1,0,0,0,0,64,0,NONE
CMOVA m64,CMOVA r/m64,,CMOVA,1,0,1,0,0,0,64,NONE
CMOVA r16,CMOVA r16,,CMOVA,1,0,0,0,0,64,0,NONE
CMOVA r32,CMOVA r32,,CMOVA,1,0,0,0,0,64,0,NONE
CMOVA r64,CMOVA r64,,CMOVA,1,0,0,0,0,64,0,NONE
CMOVAE r16,CMOVAE r/m16,,CMOVAE,1,0,0,0,0,64,0,NONE
CMOVAE m16,CMOVAE r/m16,,CMOVAE,1,0,1,0,0,16,16,NONE
CMOVAE r32,CMOVAE r/m32,,CMOVAE,1,0,0,0,0,64,0,NONE
CMOVAE m32,CMOVAE r/m32,,CMOVAE,1,0,1,0,0,0,32,NONE
CMOVAE r64,CMOVAE r/m64,,CMOVAE,1,0,0,0,0,64,0,NONE
