instruction,original,opcode,mnemonic,operand_count,has_vector_reg,has_memory,has_immediate,has_masking,register_width,memory_width,prefix_type
EVEX.512.66.0F3A.W1 m512/m64bcst,EVEX.512.66.0F3A.W1 zmm3/m512/m64bcst,,EVEX.512.66.0F3A.W1,1,0,1,0,0,0,512,NONE
EVEX.512.66.0F3A.W1 zmm3/m64bcst{sae},EVEX.512.66.0F3A.W1 zmm3/m512/m64bcst{sae},,EVEX.512.66.0F3A.W1,1,1,1,0,0,0,64,NONE
EVEX.512.66.0F3A.W1 m512/m64bcst{sae},EVEX.512.66.0F3A.W1 zmm3/m512/m64bcst{sae},,EVEX.512.66.0F3A.W1,1,0,1,0,0,0,512,NONE
EVEX.512.66.0F3A.WIG 0F /r ibVPALIGNR zmm1 {k1}{z},EVEX.512.66.0F3A.WIG 0F /r ibVPALIGNR zmm1 {k1}{z},,EVEX.512.66.0F3A.WIG,5,1,1,0,1,8,0,NONE
EVEX.512.66.0F3A.WIG 44 /r /ibVPCLMULQDQ zmm1,EVEX.512.66.0F3A.WIG 44 /r /ibVPCLMULQDQ zmm1,,EVEX.512.66.0F3A.WIG,4,1,1,0,0,8,0,NONE
EVEX.512.66.0F3A.WIG imm8,EVEX.512.66.0F3A.WIG imm8,,EVEX.512.66.0F3A.WIG,1,0,1,1,0,8,8,NONE
EVEX.512.66.0F3A.WIG zmm2,EVEX.512.66.0F3A.WIG zmm2,,EVEX.512.66.0F3A.WIG,1,1,1,0,0,0,0,NONE
EVEX.512.66.0F3A.WIG zmm3,EVEX.512.66.0F3A.WIG zmm3/m512,,EVEX.512.66.0F3A.WIG,1,1,1,0,0,0,0,NONE
EVEX.512.66.0F3A.WIG m512,EVEX.512.66.0F3A.WIG zmm3/m512,,EVEX.512.66.0F3A.WIG,1,0,1,0,0,0,512,NONE
VCVTPS2PHX ymm1{k1}{z},EVEX.512.66.MAP5.W0 1D /rVCVTPS2PHX ymm1{k1}{z},EVEX.512.66.MAP5.W0 1D /r,VCVTPS2PHX,1,1,1,0,1,0,0,EVEX
VCVTPH2DQ zmm1{k1}{z},EVEX.512.66.MAP5.W0 5B /rVCVTPH2DQ zmm1{k1}{z},EVEX.512.66.MAP5.W0 5B /r,VCVTPH2DQ,1,1,1,0,1,0,0,EVEX
VCVTTPH2UQQ zmm1{k1}{z},EVEX.512.66.MAP5.W0 78 /rVCVTTPH2UQQ zmm1{k1}{z},EVEX.512.66.MAP5.W0 78 /r,VCVTTPH2UQQ,1,1,1,0,1,0,0,EVEX
VCVTPH2UQQ zmm1{k1}{z},EVEX.512.66.MAP5.W0 79 /rVCVTPH2UQQ zmm1{k1}{z},EVEX.512.66.MAP5.W0 79 /r,VCVTPH2UQQ,1,1,1,0,1,0,0,EVEX
VCVTTPH2QQ zmm1{k1}{z},EVEX.512.66.MAP5.W0 7A /rVCVTTPH2QQ zmm1{k1}{z},EVEX.512.66.MAP5.W0 7A /r,VCVTTPH2QQ,1,1,1,0,1,0,0,EVEX
VCVTPH2QQ zmm1{k1}{z},EVEX.512.66.MAP5.W0 7B /rVCVTPH2QQ zmm1{k1}{z},EVEX.512.66.MAP5.W0 7B /r,VCVTPH2QQ,1,1,1,0,1,0,0,EVEX
VCVTTPH2W zmm1{k1}{z},EVEX.512.66.MAP5.W0 7C /rVCVTTPH2W zmm1{k1}{z},EVEX.512.66.MAP5.W0 7C /r,VCVTTPH2W,1,1,1,0,1,0,0,EVEX
VCVTPH2W zmm1{k1}{z},EVEX.512.66.MAP5.W0 7D /rVCVTPH2W zmm1{k1}{z},EVEX.512.66.MAP5.W0 7D /r,VCVTPH2W,1,1,1,0,1,0,0,EVEX
EVEX.512.66.MAP5.W0 xmm2/m16bcst {er},EVEX.512.66.MAP5.W0 xmm2/m128/m16bcst {er},,EVEX.512.66.MAP5.W0,2,1,1,0,0,16,16,NONE
EVEX.512.66.MAP5.W0 m128/m16bcst {er},EVEX.512.66.MAP5.W0 xmm2/m128/m16bcst {er},,EVEX.512.66.MAP5.W0,2,0,1,0,0,16,128,NONE
EVEX.512.66.MAP5.W0 xmm2/m16bcst {sae},EVEX.512.66.MAP5.W0 xmm2/m128/m16bcst {sae},,EVEX.512.66.MAP5.W0,2,1,1,0,0,16,16,NONE
EVEX.512.66.MAP5.W0 m128/m16bcst {sae},EVEX.512.66.MAP5.W0 xmm2/m128/m16bcst {sae},,EVEX.512.66.MAP5.W0,2,0,1,0,0,16,128,NONE
EVEX.512.66.MAP5.W0 ymm2/m16bcst {er},EVEX.512.66.MAP5.W0 ymm2/m256/m16bcst {er},,EVEX.512.66.MAP5.W0,2,1,1,0,0,16,16,NONE
EVEX.512.66.MAP5.W0 m256/m16bcst {er},EVEX.512.66.MAP5.W0 ymm2/m256/m16bcst {er},,EVEX.512.66.MAP5.W0,2,0,1,0,0,16,256,NONE
EVEX.512.66.MAP5.W0 zmm2/m16bcst {er},EVEX.512.66.MAP5.W0 zmm2/m512/m16bcst {er},,EVEX.512.66.MAP5.W0,2,1,1,0,0,16,16,NONE
EVEX.512.66.MAP5.W0 m512/m16bcst {er},EVEX.512.66.MAP5.W0 zmm2/m512/m16bcst {er},,EVEX.512.66.MAP5.W0,2,0,1,0,0,16,512,NONE
EVEX.512.66.MAP5.W0 zmm2/m16bcst {sae},EVEX.512.66.MAP5.W0 zmm2/m512/m16bcst {sae},,EVEX.512.66.MAP5.W0,2,1,1,0,0,16,16,NONE
EVEX.512.66.MAP5.W0 m512/m16bcst {sae},EVEX.512.66.MAP5.W0 zmm2/m512/m16bcst {sae},,EVEX.512.66.MAP5.W0,2,0,1,0,0,16,512,NONE
EVEX.512.66.MAP5.W0 zmm2/m32bcst {er},EVEX.512.66.MAP5.W0 zmm2/m512/m32bcst {er},,EVEX.512.66.MAP5.W0,2,1,1,0,0,0,32,NONE
EVEX.512.66.MAP5.W0 m512/m32bcst {er},EVEX.512.66.MAP5.W0 zmm2/m512/m32bcst {er},,EVEX.512.66.MAP5.W0,2,0,1,0,0,0,512,NONE
VCVTPD2PH xmm1{k1}{z},EVEX.512.66.MAP5.W1 5A /rVCVTPD2PH xmm1{k1}{z},EVEX.512.66.MAP5.W1 5A /r,VCVTPD2PH,1,1,1,0,1,0,0,EVEX
EVEX.512.66.MAP5.W1 zmm2/m64bcst {er},EVEX.512.66.MAP5.W1 zmm2/m512/m64bcst {er},,EVEX.512.66.MAP5.W1,2,1,1,0,0,0,64,NONE
EVEX.512.66.MAP5.W1 m512/m64bcst {er},EVEX.512.66.MAP5.W1 zmm2/m512/m64bcst {er},,EVEX.512.66.MAP5.W1,2,0,1,0,0,0,512,NONE
VCVTPH2PSX zmm1{k1}{z},EVEX.512.66.MAP6.W0 13 /rVCVTPH2PSX zmm1{k1}{z},EVEX.512.66.MAP6.W0 13 /r,VCVTPH2PSX,1,1,1,0,1,0,0,EVEX
VSCALEFPH zmm1{k1}{z},EVEX.512.66.MAP6.W0 2C /rVSCALEFPH zmm1{k1}{z},EVEX.512.66.MAP6.W0 2C /r,VSCALEFPH,1,1,1,0,1,8,0,EVEX
VGETEXPPH zmm1{k1}{z},EVEX.512.66.MAP6.W0 42 /rVGETEXPPH zmm1{k1}{z},EVEX.512.66.MAP6.W0 42 /r,VGETEXPPH,1,1,1,0,1,0,0,EVEX
VRCPPH zmm1{k1}{z},EVEX.512.66.MAP6.W0 4C /rVRCPPH zmm1{k1}{z},EVEX.512.66.MAP6.W0 4C /r,VRCPPH,1,1,1,0,1,0,0,EVEX
VRSQRTPH zmm1{k1}{z},EVEX.512.66.MAP6.W0 4E /rVRSQRTPH zmm1{k1}{z},EVEX.512.66.MAP6.W0 4E /r,VRSQRTPH,1,1,1,0,1,0,0,EVEX
VFMADDSUB132PH zmm1{k1}{z},EVEX.512.66.MAP6.W0 96 /rVFMADDSUB132PH zmm1{k1}{z},EVEX.512.66.MAP6.W0 96 /r,VFMADDSUB132PH,1,1,1,0,1,0,0,EVEX
VFMSUBADD132PH zmm1{k1}{z},EVEX.512.66.MAP6.W0 97 /rVFMSUBADD132PH zmm1{k1}{z},EVEX.512.66.MAP6.W0 97 /r,VFMSUBADD132PH,1,1,1,0,1,0,0,EVEX
VFMADD132PH zmm1{k1}{z},EVEX.512.66.MAP6.W0 98 /rVFMADD132PH zmm1{k1}{z},EVEX.512.66.MAP6.W0 98 /r,VFMADD132PH,1,1,1,0,1,0,0,EVEX
VFMSUB132PH zmm1{k1}{z},EVEX.512.66.MAP6.W0 9A /rVFMSUB132PH zmm1{k1}{z},EVEX.512.66.MAP6.W0 9A /r,VFMSUB132PH,1,1,1,0,1,0,0,EVEX
VFNMADD132PH zmm1{k1}{z},EVEX.512.66.MAP6.W0 9C /rVFNMADD132PH zmm1{k1}{z},EVEX.512.66.MAP6.W0 9C /r,VFNMADD132PH,1,1,1,0,1,0,0,EVEX
VFNMSUB132PH zmm1{k1}{z},EVEX.512.66.MAP6.W0 9E /rVFNMSUB132PH zmm1{k1}{z},EVEX.512.66.MAP6.W0 9E /r,VFNMSUB132PH,1,1,1,0,1,0,0,EVEX
VFMADDSUB213PH zmm1{k1}{z},EVEX.512.66.MAP6.W0 A6 /rVFMADDSUB213PH zmm1{k1}{z},EVEX.512.66.MAP6.W0 A6 /r,VFMADDSUB213PH,1,1,1,0,1,0,0,EVEX
VFMSUBADD213PH zmm1{k1}{z},EVEX.512.66.MAP6.W0 A7 /rVFMSUBADD213PH zmm1{k1}{z},EVEX.512.66.MAP6.W0 A7 /r,VFMSUBADD213PH,1,1,1,0,1,0,0,EVEX
VFMADD213PH zmm1{k1}{z},EVEX.512.66.MAP6.W0 A8 /rVFMADD213PH zmm1{k1}{z},EVEX.512.66.MAP6.W0 A8 /r,VFMADD213PH,1,1,1,0,1,0,0,EVEX
VFMSUB213PH zmm1{k1}{z},EVEX.512.66.MAP6.W0 AA /rVFMSUB213PH zmm1{k1}{z},EVEX.512.66.MAP6.W0 AA /r,VFMSUB213PH,1,1,1,0,1,0,0,EVEX
VFNMADD213PH zmm1{k1}{z},EVEX.512.66.MAP6.W0 AC /rVFNMADD213PH zmm1{k1}{z},EVEX.512.66.MAP6.W0 AC /r,VFNMADD213PH,1,1,1,0,1,0,0,EVEX
VFNMSUB213PH zmm1{k1}{z},EVEX.512.66.MAP6.W0 AE /rVFNMSUB213PH zmm1{k1}{z},EVEX.512.66.MAP6.W0 AE /r,VFNMSUB213PH,1,1,1,0,1,0,0,EVEX
VFMADDSUB231PH zmm1{k1}{z},EVEX.512.66.MAP6.W0 B6 /rVFMADDSUB231PH zmm1{k1}{z},EVEX.512.66.MAP6.W0 B6 /r,VFMADDSUB231PH,1,1,1,0,1,0,0,EVEX
VFMSUBADD231PH zmm1{k1}{z},EVEX.512.66.MAP6.W0 B7 /rVFMSUBADD231PH zmm1{k1}{z},EVEX.512.66.MAP6.W0 B7 /r,VFMSUBADD231PH,1,1,1,0,1,0,0,EVEX
VFMADD231PH zmm1{k1}{z},EVEX.512.66.MAP6.W0 B8 /rVFMADD231PH zmm1{k1}{z},EVEX.512.66.MAP6.W0 B8 /r,VFMADD231PH,1,1,1,0,1,0,0,EVEX
VFMSUB231PH zmm1{k1}{z},EVEX.512.66.MAP6.W0 BA /rVFMSUB231PH zmm1{k1}{z},EVEX.512.66.MAP6.W0 BA /r,VFMSUB231PH,1,1,1,0,1,0,0,EVEX
VFNMADD231PH zmm1{k1}{z},EVEX.512.66.MAP6.W0 BC /rVFNMADD231PH zmm1{k1}{z},EVEX.512.66.MAP6.W0 BC /r,VFNMADD231PH,1,1,1,0,1,0,0,EVEX
VFNMSUB231PH zmm1{k1}{z},EVEX.512.66.MAP6.W0 BE /rVFNMSUB231PH zmm1{k1}{z},EVEX.512.66.MAP6.W0 BE /r,VFNMSUB231PH,1,1,1,0,1,0,0,EVEX
EVEX.512.66.MAP6.W0 ymm2/m16bcst {sae},EVEX.512.66.MAP6.W0 ymm2/m256/m16bcst {sae},,EVEX.512.66.MAP6.W0,2,1,1,0,0,16,16,NONE
EVEX.512.66.MAP6.W0 m256/m16bcst {sae},EVEX.512.66.MAP6.W0 ymm2/m256/m16bcst {sae},,EVEX.512.66.MAP6.W0,2,0,1,0,0,16,256,NONE
EVEX.512.66.MAP6.W0 zmm2,EVEX.512.66.MAP6.W0 zmm2,,EVEX.512.66.MAP6.W0,1,1,1,0,0,0,0,NONE
EVEX.512.66.MAP6.W0 zmm2/m16bcst,EVEX.512.66.MAP6.W0 zmm2/m512/m16bcst,,EVEX.512.66.MAP6.W0,1,1,1,0,0,16,16,NONE
EVEX.512.66.MAP6.W0 m512/m16bcst,EVEX.512.66.MAP6.W0 zmm2/m512/m16bcst,,EVEX.512.66.MAP6.W0,1,0,1,0,0,16,512,NONE
EVEX.512.66.MAP6.W0 zmm2/m16bcst {sae},EVEX.512.66.MAP6.W0 zmm2/m512/m16bcst {sae},,EVEX.512.66.MAP6.W0,2,1,1,0,0,16,16,NONE
EVEX.512.66.MAP6.W0 m512/m16bcst {sae},EVEX.512.66.MAP6.W0 zmm2/m512/m16bcst {sae},,EVEX.512.66.MAP6.W0,2,0,1,0,0,16,512,NONE
EVEX.512.66.MAP6.W0 zmm3/m16bcst {er},EVEX.512.66.MAP6.W0 zmm3/m512/m16bcst {er},,EVEX.512.66.MAP6.W0,2,1,1,0,0,16,16,NONE
EVEX.512.66.MAP6.W0 m512/m16bcst {er},EVEX.512.66.MAP6.W0 zmm3/m512/m16bcst {er},,EVEX.512.66.MAP6.W0,2,0,1,0,0,16,512,NONE
VMOVDQU8 zmm1 {k1}{z},EVEX.512.F2.0F.W0 6F /rVMOVDQU8 zmm1 {k1}{z},EVEX.512.F2.0F.W0 6F /r,VMOVDQU8,2,1,1,0,1,0,0,EVEX
VCVTUDQ2PS zmm1 {k1}{z},EVEX.512.F2.0F.W0 7A /rVCVTUDQ2PS zmm1 {k1}{z},EVEX.512.F2.0F.W0 7A /r,VCVTUDQ2PS,2,1,1,0,1,0,0,EVEX
VMOVDQU8 zmm2 {k1}{z},EVEX.512.F2.0F.W0 7F /rVMOVDQU8 zmm2/m512 {k1}{z},EVEX.512.F2.0F.W0 7F /r,VMOVDQU8,2,1,1,0,1,0,0,EVEX
VMOVDQU8 m512 {k1}{z},EVEX.512.F2.0F.W0 7F /rVMOVDQU8 zmm2/m512 {k1}{z},EVEX.512.F2.0F.W0 7F /r,VMOVDQU8,2,0,1,0,1,0,512,EVEX
EVEX.512.F2.0F.W0 zmm1,EVEX.512.F2.0F.W0 zmm1,,EVEX.512.F2.0F.W0,1,1,1,0,0,0,0,NONE
EVEX.512.F2.0F.W0 zmm2,EVEX.512.F2.0F.W0 zmm2/m512,,EVEX.512.F2.0F.W0,1,1,1,0,0,0,0,NONE
EVEX.512.F2.0F.W0 m512,EVEX.512.F2.0F.W0 zmm2/m512,,EVEX.512.F2.0F.W0,1,0,1,0,0,0,512,NONE
EVEX.512.F2.0F.W0 zmm2/m32bcst {er},EVEX.512.F2.0F.W0 zmm2/m512/m32bcst {er},,EVEX.512.F2.0F.W0,2,1,1,0,0,0,32,NONE
EVEX.512.F2.0F.W0 m512/m32bcst {er},EVEX.512.F2.0F.W0 zmm2/m512/m32bcst {er},,EVEX.512.F2.0F.W0,2,0,1,0,0,0,512,NONE
VMOVDDUP zmm1 {k1}{z},EVEX.512.F2.0F.W1 12 /rVMOVDDUP zmm1 {k1}{z},EVEX.512.F2.0F.W1 12 /r,VMOVDDUP,2,1,1,0,1,0,0,EVEX
VMOVDQU16 zmm1 {k1}{z},EVEX.512.F2.0F.W1 6F /rVMOVDQU16 zmm1 {k1}{z},EVEX.512.F2.0F.W1 6F /r,VMOVDQU16,2,1,1,0,1,0,0,EVEX
VCVTUQQ2PS ymm1 {k1}{z},EVEX.512.F2.0F.W1 7A /rVCVTUQQ2PS ymm1 {k1}{z},EVEX.512.F2.0F.W1 7A /r,VCVTUQQ2PS,2,1,1,0,1,0,0,EVEX
VMOVDQU16 zmm2 {k1}{z},EVEX.512.F2.0F.W1 7F /rVMOVDQU16 zmm2/m512 {k1}{z},EVEX.512.F2.0F.W1 7F /r,VMOVDQU16,2,1,1,0,1,0,0,EVEX
VMOVDQU16 m512 {k1}{z},EVEX.512.F2.0F.W1 7F /rVMOVDQU16 zmm2/m512 {k1}{z},EVEX.512.F2.0F.W1 7F /r,VMOVDQU16,2,0,1,0,1,0,512,EVEX
VCVTPD2DQ ymm1 {k1}{z},EVEX.512.F2.0F.W1 E6 /rVCVTPD2DQ ymm1 {k1}{z},EVEX.512.F2.0F.W1 E6 /r,VCVTPD2DQ,2,1,1,0,1,0,0,EVEX
EVEX.512.F2.0F.W1 zmm1,EVEX.512.F2.0F.W1 zmm1,,EVEX.512.F2.0F.W1,1,1,1,0,0,0,0,NONE
EVEX.512.F2.0F.W1 zmm2,EVEX.512.F2.0F.W1 zmm2/m512,,EVEX.512.F2.0F.W1,1,1,1,0,0,0,0,NONE
EVEX.512.F2.0F.W1 m512,EVEX.512.F2.0F.W1 zmm2/m512,,EVEX.512.F2.0F.W1,1,0,1,0,0,0,512,NONE
EVEX.512.F2.0F.W1 zmm2/m64bcst {er},EVEX.512.F2.0F.W1 zmm2/m512/m64bcst {er},,EVEX.512.F2.0F.W1,2,1,1,0,0,0,64,NONE
EVEX.512.F2.0F.W1 m512/m64bcst {er},EVEX.512.F2.0F.W1 zmm2/m512/m64bcst {er},,EVEX.512.F2.0F.W1,2,0,1,0,0,0,512,NONE
EVEX.512.F2.0F.WIG 70 /r ibVPSHUFLW zmm1 {k1}{z},EVEX.512.F2.0F.WIG 70 /r ibVPSHUFLW zmm1 {k1}{z},,EVEX.512.F2.0F.WIG,5,1,1,0,1,0,0,NONE
EVEX.512.F2.0F.WIG imm8,EVEX.512.F2.0F.WIG imm8,,EVEX.512.F2.0F.WIG,1,0,1,1,0,8,8,NONE
EVEX.512.F2.0F.WIG zmm2,EVEX.512.F2.0F.WIG zmm2/m512,,EVEX.512.F2.0F.WIG,1,1,1,0,0,0,0,NONE
EVEX.512.F2.0F.WIG m512,EVEX.512.F2.0F.WIG zmm2/m512,,EVEX.512.F2.0F.WIG,1,0,1,0,0,0,512,NONE
VP4DPWSSD zmm1{k1}{z},EVEX.512.F2.0F38.W0 52 /rVP4DPWSSD zmm1{k1}{z},EVEX.512.F2.0F38.W0 52 /r,VP4DPWSSD,1,1,1,0,1,0,0,EVEX
VP4DPWSSDS zmm1{k1}{z},EVEX.512.F2.0F38.W0 53 /rVP4DPWSSDS zmm1{k1}{z},EVEX.512.F2.0F38.W0 53 /r,VP4DPWSSDS,1,1,1,0,1,0,0,EVEX
VCVTNE2PS2BF16 zmm1{k1}{z},EVEX.512.F2.0F38.W0 72 /rVCVTNE2PS2BF16 zmm1{k1}{z},EVEX.512.F2.0F38.W0 72 /r,VCVTNE2PS2BF16,1,1,1,0,1,0,0,EVEX
V4FMADDPS zmm1{k1}{z},EVEX.512.F2.0F38.W0 9A /rV4FMADDPS zmm1{k1}{z},EVEX.512.F2.0F38.W0 9A /r,V4FMADDPS,1,1,1,0,1,0,0,EVEX
V4FNMADDPS zmm1{k1}{z},EVEX.512.F2.0F38.W0 AA /rV4FNMADDPS zmm1{k1}{z},EVEX.512.F2.0F38.W0 AA /r,V4FNMADDPS,1,1,1,0,1,0,0,EVEX
EVEX.512.F2.0F38.W0 m128,EVEX.512.F2.0F38.W0 m128,,EVEX.512.F2.0F38.W0,1,0,1,0,0,0,128,NONE
EVEX.512.F2.0F38.W0 zmm2,EVEX.512.F2.0F38.W0 zmm2,,EVEX.512.F2.0F38.W0,1,1,1,0,0,0,0,NONE
EVEX.512.F2.0F38.W0 zmm2+3,EVEX.512.F2.0F38.W0 zmm2+3,,EVEX.512.F2.0F38.W0,1,1,1,0,0,0,0,NONE
EVEX.512.F2.0F38.W0 zmm3/m32bcst,EVEX.512.F2.0F38.W0 zmm3/m512/m32bcst,,EVEX.512.F2.0F38.W0,1,1,1,0,0,0,32,NONE
EVEX.512.F2.0F38.W0 m512/m32bcst,EVEX.512.F2.0F38.W0 zmm3/m512/m32bcst,,EVEX.512.F2.0F38.W0,1,0,1,0,0,0,512,NONE
VCVTUDQ2PH ymm1{k1}{z},EVEX.512.F2.MAP5.W0 7A /rVCVTUDQ2PH ymm1{k1}{z},EVEX.512.F2.MAP5.W0 7A /r,VCVTUDQ2PH,1,1,1,0,1,0,0,EVEX
VCVTUW2PH zmm1{k1}{z},EVEX.512.F2.MAP5.W0 7D /rVCVTUW2PH zmm1{k1}{z},EVEX.512.F2.MAP5.W0 7D /r,VCVTUW2PH,1,1,1,0,1,0,0,EVEX
EVEX.512.F2.MAP5.W0 zmm2/m16bcst {er},EVEX.512.F2.MAP5.W0 zmm2/m512/m16bcst {er},,EVEX.512.F2.MAP5.W0,2,1,1,0,0,16,16,NONE
EVEX.512.F2.MAP5.W0 m512/m16bcst {er},EVEX.512.F2.MAP5.W0 zmm2/m512/m16bcst {er},,EVEX.512.F2.MAP5.W0,2,0,1,0,0,16,512,NONE
EVEX.512.F2.MAP5.W0 zmm2/m32bcst {er},EVEX.512.F2.MAP5.W0 zmm2/m512/m32bcst {er},,EVEX.512.F2.MAP5.W0,2,1,1,0,0,0,32,NONE
EVEX.512.F2.MAP5.W0 m512/m32bcst {er},EVEX.512.F2.MAP5.W0 zmm2/m512/m32bcst {er},,EVEX.512.F2.MAP5.W0,2,0,1,0,0,0,512,NONE
VCVTUQQ2PH xmm1{k1}{z},EVEX.512.F2.MAP5.W1 7A /rVCVTUQQ2PH xmm1{k1}{z},EVEX.512.F2.MAP5.W1 7A /r,VCVTUQQ2PH,1,1,1,0,1,0,0,EVEX
EVEX.512.F2.MAP5.W1 zmm2/m64bcst {er},EVEX.512.F2.MAP5.W1 zmm2/m512/m64bcst {er},,EVEX.512.F2.MAP5.W1,2,1,1,0,0,0,64,NONE
EVEX.512.F2.MAP5.W1 m512/m64bcst {er},EVEX.512.F2.MAP5.W1 zmm2/m512/m64bcst {er},,EVEX.512.F2.MAP5.W1,2,0,1,0,0,0,512,NONE
VFCMADDCPH zmm1{k1}{z},EVEX.512.F2.MAP6.W0 56 /rVFCMADDCPH zmm1{k1}{z},EVEX.512.F2.MAP6.W0 56 /r,VFCMADDCPH,1,1,1,0,1,0,0,EVEX
VFCMULCPH zmm1{k1}{z},EVEX.512.F2.MAP6.W0 D6 /rVFCMULCPH zmm1{k1}{z},EVEX.512.F2.MAP6.W0 D6 /r,VFCMULCPH,1,1,1,0,1,0,0,EVEX
EVEX.512.F2.MAP6.W0 zmm2,EVEX.512.F2.MAP6.W0 zmm2,,EVEX.512.F2.MAP6.W0,1,1,1,0,0,0,0,NONE
EVEX.512.F2.MAP6.W0 zmm3/m32bcst {er},EVEX.512.F2.MAP6.W0 zmm3/m512/m32bcst {er},,EVEX.512.F2.MAP6.W0,2,1,1,0,0,0,32,NONE
EVEX.512.F2.MAP6.W0 m512/m32bcst {er},EVEX.512.F2.MAP6.W0 zmm3/m512/m32bcst {er},,EVEX.512.F2.MAP6.W0,2,0,1,0,0,0,512,NONE
VMOVSLDUP zmm1 {k1}{z},EVEX.512.F3.0F.W0 12 /rVMOVSLDUP zmm1 {k1}{z},EVEX.512.F3.0F.W0 12 /r,VMOVSLDUP,2,1,1,0,1,0,0,EVEX
VMOVSHDUP zmm1 {k1}{z},EVEX.512.F3.0F.W0 16 /rVMOVSHDUP zmm1 {k1}{z},EVEX.512.F3.0F.W0 16 /r,VMOVSHDUP,2,1,1,0,1,0,0,EVEX
VCVTTPS2DQ zmm1 {k1}{z},EVEX.512.F3.0F.W0 5B /rVCVTTPS2DQ zmm1 {k1}{z},EVEX.512.F3.0F.W0 5B /r,VCVTTPS2DQ,2,1,1,0,1,0,0,EVEX
VMOVDQU32 zmm1 {k1}{z},EVEX.512.F3.0F.W0 6F /rVMOVDQU32 zmm1 {k1}{z},EVEX.512.F3.0F.W0 6F /r,VMOVDQU32,2,1,1,0,1,0,0,EVEX
VCVTUDQ2PD zmm1 {k1}{z},EVEX.512.F3.0F.W0 7A /rVCVTUDQ2PD zmm1 {k1}{z},EVEX.512.F3.0F.W0 7A /r,VCVTUDQ2PD,2,1,1,0,1,0,0,EVEX
VMOVDQU32 zmm2 {k1}{z},EVEX.512.F3.0F.W0 7F /rVMOVDQU32 zmm2/m512 {k1}{z},EVEX.512.F3.0F.W0 7F /r,VMOVDQU32,2,1,1,0,1,0,0,EVEX
VMOVDQU32 m512 {k1}{z},EVEX.512.F3.0F.W0 7F /rVMOVDQU32 zmm2/m512 {k1}{z},EVEX.512.F3.0F.W0 7F /r,VMOVDQU32,2,0,1,0,1,0,512,EVEX
VCVTDQ2PD zmm1 {k1}{z},EVEX.512.F3.0F.W0 E6 /rVCVTDQ2PD zmm1 {k1}{z},EVEX.512.F3.0F.W0 E6 /r,VCVTDQ2PD,2,1,1,0,1,0,0,EVEX
EVEX.512.F3.0F.W0 ymm2/m32bcst,EVEX.512.F3.0F.W0 ymm2/m256/m32bcst,,EVEX.512.F3.0F.W0,1,1,1,0,0,0,32,NONE
EVEX.512.F3.0F.W0 m256/m32bcst,EVEX.512.F3.0F.W0 ymm2/m256/m32bcst,,EVEX.512.F3.0F.W0,1,0,1,0,0,0,256,NONE
EVEX.512.F3.0F.W0 zmm1,EVEX.512.F3.0F.W0 zmm1,,EVEX.512.F3.0F.W0,1,1,1,0,0,0,0,NONE
EVEX.512.F3.0F.W0 zmm2,EVEX.512.F3.0F.W0 zmm2/m512,,EVEX.512.F3.0F.W0,1,1,1,0,0,0,0,NONE
EVEX.512.F3.0F.W0 m512,EVEX.512.F3.0F.W0 zmm2/m512,,EVEX.512.F3.0F.W0,1,0,1,0,0,0,512,NONE
EVEX.512.F3.0F.W0 zmm2/m32bcst {sae},EVEX.512.F3.0F.W0 zmm2/m512/m32bcst {sae},,EVEX.512.F3.0F.W0,2,1,1,0,0,0,32,NONE
EVEX.512.F3.0F.W0 m512/m32bcst {sae},EVEX.512.F3.0F.W0 zmm2/m512/m32bcst {sae},,EVEX.512.F3.0F.W0,2,0,1,0,0,0,512,NONE
VMOVDQU64 zmm1 {k1}{z},EVEX.512.F3.0F.W1 6F /rVMOVDQU64 zmm1 {k1}{z},EVEX.512.F3.0F.W1 6F /r,VMOVDQU64,2,1,1,0,1,0,0,EVEX
VCVTUQQ2PD zmm1 {k1}{z},EVEX.512.F3.0F.W1 7A /rVCVTUQQ2PD zmm1 {k1}{z},EVEX.512.F3.0F.W1 7A /r,VCVTUQQ2PD,2,1,1,0,1,0,0,EVEX
VMOVDQU64 zmm2 {k1}{z},EVEX.512.F3.0F.W1 7F /rVMOVDQU64 zmm2/m512 {k1}{z},EVEX.512.F3.0F.W1 7F /r,VMOVDQU64,2,1,1,0,1,0,0,EVEX
VMOVDQU64 m512 {k1}{z},EVEX.512.F3.0F.W1 7F /rVMOVDQU64 zmm2/m512 {k1}{z},EVEX.512.F3.0F.W1 7F /r,VMOVDQU64,2,0,1,0,1,0,512,EVEX
VCVTQQ2PD zmm1 {k1}{z},EVEX.512.F3.0F.W1 E6 /rVCVTQQ2PD zmm1 {k1}{z},EVEX.512.F3.0F.W1 E6 /r,VCVTQQ2PD,2,1,1,0,1,0,0,EVEX
EVEX.512.F3.0F.W1 zmm1,EVEX.512.F3.0F.W1 zmm1,,EVEX.512.F3.0F.W1,1,1,1,0,0,0,0,NONE
EVEX.512.F3.0F.W1 zmm2,EVEX.512.F3.0F.W1 zmm2/m512,,EVEX.512.F3.0F.W1,1,1,1,0,0,0,0,NONE
EVEX.512.F3.0F.W1 m512,EVEX.512.F3.0F.W1 zmm2/m512,,EVEX.512.F3.0F.W1,1,0,1,0,0,0,512,NONE
