Instruction Syntax
EVEX.128.66.0F.W1 D6 /rVMOVQ xmm1/m64
EVEX.128.66.0F.W1 DB /rVPANDQ xmm1 {k1}{z}
EVEX.128.66.0F.W1 DF /rVPANDNQ xmm1 {k1}{z}
EVEX.128.66.0F.W1 E2 /rVPSRAQ xmm1 {k1}{z}
EVEX.128.66.0F.W1 E6 /rVCVTTPD2DQ xmm1 {k1}{z}
EVEX.128.66.0F.W1 EB /rVPORQ xmm1 {k1}{z}
EVEX.128.66.0F.W1 EF /rVPXORQ xmm1 {k1}{z}
EVEX.128.66.0F.W1 F3 /rVPSLLQ xmm1 {k1}{z}
EVEX.128.66.0F.W1 F4 /rVPMULUDQ xmm1 {k1}{z}
EVEX.128.66.0F.W1 FB /rVPSUBQ xmm1 {k1}{z}
EVEX.128.66.0F.W1 imm8
EVEX.128.66.0F.W1 m64
EVEX.128.66.0F.W1 r64/m64
EVEX.128.66.0F.W1 xmm1
EVEX.128.66.0F.W1 xmm2
EVEX.128.66.0F.W1 xmm2/m128
EVEX.128.66.0F.W1 xmm2/m128/m64bcst
EVEX.128.66.0F.W1 xmm3/m128
EVEX.128.66.0F.W1 xmm3/m128/m64bcst
EVEX.128.66.0F.WIG 60 /rVPUNPCKLBW xmm1 {k1}{z}
EVEX.128.66.0F.WIG 61 /rVPUNPCKLWD xmm1 {k1}{z}
EVEX.128.66.0F.WIG 63 /rVPACKSSWB xmm1 {k1}{z}
EVEX.128.66.0F.WIG 64 /rVPCMPGTB k1 {k2}
EVEX.128.66.0F.WIG 65 /rVPCMPGTW k1 {k2}
EVEX.128.66.0F.WIG 67 /rVPACKUSWB xmm1{k1}{z}
EVEX.128.66.0F.WIG 68 /rVPUNPCKHBW xmm1 {k1}{z}
EVEX.128.66.0F.WIG 69 /rVPUNPCKHWD xmm1 {k1}{z}
EVEX.128.66.0F.WIG 71 /2 ibVPSRLW xmm1 {k1}{z}
EVEX.128.66.0F.WIG 71 /4 ibVPSRAW xmm1 {k1}{z}
EVEX.128.66.0F.WIG 71 /6 ibVPSLLW xmm1 {k1}{z}
