Original,Opcode,Instruction
DS segment override,,DS segment override
EDX:EAX with memory64,,EDX:EAX with memory64
EMMS,,EMMS
ENTER 0,,ENTER 0
ENTER 1,,ENTER 1
ENTER imm16,,ENTER imm16
ENTER imm8,,ENTER imm8
ERETS,,ERETS
ERETU,,ERETU
ES segment override,,ES segment override
EVEX-encoded 128-bit instructions,,EVEX-encoded 128-bit instructions
EVEX-encoded 256-bit instructions,,EVEX-encoded 256-bit instructions
EVEX-encoded 512-bit instructions,,EVEX-encoded 512-bit instructions
EVEX.128.0F.W0 10 /rVMOVUPS xmm1 {k1}{z},EVEX.128.0F.W0 10 /r,VMOVUPS xmm1 {k1}{z}
EVEX.128.0F.W0 11 /rVMOVUPS xmm2/m128 {k1}{z},EVEX.128.0F.W0 11 /r,VMOVUPS xmm2 {k1}{z}
EVEX.128.0F.W0 11 /rVMOVUPS xmm2/m128 {k1}{z},EVEX.128.0F.W0 11 /r,VMOVUPS m128 {k1}{z}
EVEX.128.0F.W0 12 /rVMOVHLPS xmm1,EVEX.128.0F.W0 12 /r,VMOVHLPS xmm1
EVEX.128.0F.W0 12 /rVMOVLPS xmm2,EVEX.128.0F.W0 12 /r,VMOVLPS xmm2
EVEX.128.0F.W0 13/rVMOVLPS m64,EVEX.128.0F.W0 13/r,VMOVLPS m64
EVEX.128.0F.W0 14 /rVUNPCKLPS xmm1 {k1}{z},EVEX.128.0F.W0 14 /r,VUNPCKLPS xmm1 {k1}{z}
EVEX.128.0F.W0 15 /rVUNPCKHPS xmm1 {k1}{z},EVEX.128.0F.W0 15 /r,VUNPCKHPS xmm1 {k1}{z}
EVEX.128.0F.W0 16 /rVMOVHPS xmm2,EVEX.128.0F.W0 16 /r,VMOVHPS xmm2
EVEX.128.0F.W0 16 /rVMOVLHPS xmm1,EVEX.128.0F.W0 16 /r,VMOVLHPS xmm1
EVEX.128.0F.W0 17 /rVMOVHPS m64,EVEX.128.0F.W0 17 /r,VMOVHPS m64
EVEX.128.0F.W0 28 /rVMOVAPS xmm1 {k1}{z},EVEX.128.0F.W0 28 /r,VMOVAPS xmm1 {k1}{z}
EVEX.128.0F.W0 29 /rVMOVAPS xmm2/m128 {k1}{z},EVEX.128.0F.W0 29 /r,VMOVAPS xmm2 {k1}{z}
EVEX.128.0F.W0 29 /rVMOVAPS xmm2/m128 {k1}{z},EVEX.128.0F.W0 29 /r,VMOVAPS m128 {k1}{z}
EVEX.128.0F.W0 2B /rVMOVNTPS m128,EVEX.128.0F.W0 2B /r,VMOVNTPS m128
EVEX.128.0F.W0 51 /rVSQRTPS xmm1 {k1}{z},EVEX.128.0F.W0 51 /r,VSQRTPS xmm1 {k1}{z}
EVEX.128.0F.W0 54 /rVANDPS xmm1 {k1}{z},EVEX.128.0F.W0 54 /r,VANDPS xmm1 {k1}{z}
EVEX.128.0F.W0 55 /rVANDNPS xmm1 {k1}{z},EVEX.128.0F.W0 55 /r,VANDNPS xmm1 {k1}{z}
EVEX.128.0F.W0 56 /rVORPS xmm1 {k1}{z},EVEX.128.0F.W0 56 /r,VORPS xmm1 {k1}{z}
EVEX.128.0F.W0 57 /rVXORPS xmm1 {k1}{z},EVEX.128.0F.W0 57 /r,VXORPS xmm1 {k1}{z}
